Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.012558286291435886,0.02417853802072971,0.021097285620371047,0.0383467082230072,0.02703959664727647,0.030679129391023054,0.02991508302100797,0.00685930398525632,-0.002332246355731417,0.0044294233649531615,0.0072202615215684485,-0.013104334894973242,0.0,0.06348929988768501,0.05322697219999618,0.022416091264914825,-0.0011325625103819775,0.0,0.02128321943650718,0.008468334317495805,0.004293408666151734,-0.008792157392587627,0.0,0.018965297477612664,0.0299757494714501,-0.013477097491303517,-0.014461241729831549,0.0,0.02325205903178929,0.01527984672224513,0.017707510119285792,-0.006441163570534313,0.0,-0.0110488270299909,-0.00531527381243845,-0.01881140053762033,-0.00665050784826942,0.0
census-income-full-nominal,0.08481182890727697,-0.0113117357108347,-0.0239693060339488,-0.0077719080978925,-0.0340752307348901,0.0,-0.0312156166285998,0.0263922715934257,-0.0130385782167951,0.00273954509397455,-0.00395211952123037,8.086355942171002e-05,-0.00019738318472369002,0.0,0.0,0.0,-0.0011445813534688358,0.0,-0.0197825925997342,-0.02837570105131354,-0.02587426550183376,-0.0027864835664663397,0.013000272324449327,-0.02104639127500732,-0.026250917436403322,-0.02537370159501226,-0.00213437510035491,0.01522959597097262,-0.012699282385593619,0.00012325786419006002,-0.00590479360904185,-0.00247861831761582,0.02739100098736245,-0.0008819855217134,0.0009545504791567,-0.0011706384506206,-0.00113771194286307,0.0
chess_krkopt_zerovsall,-0.0002530108827550667,0.0008152861786235,0.0003771306387025,-0.0002661315968308,-0.0003042853435131,-0.0003032412361793,0.0034513432608892,-0.0003630027188583,6.206797945575421e-05,0.0045752960732659805,0.0005222452188520161,-0.00017958114903202023,-0.00024065114184520999,8.984333653650758e-05,0.002739993614802967,0.0,4.0770153841904274e-05,0.0,-9.1142800565243e-05,0.00014470623134276553,0.00045766956709185114,-0.00022790488510795,0.0013397301128195,-6.244433631726039e-06,0.0037914929819637356,2.758079824389917e-05,-9.789017582551651e-05,0.0008921924282908859,0.00054538126573004,0.01478467383599126,2.181450344223834e-06,-5.9820808029493935e-05,0.0008466149752005759,0.0001355546908798,-9.039424962898746e-05,3.478636037305914e-05,-9.426916976422812e-05,0.0
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.08960450837283586,-0.0441307925274836,-0.018280405844168,0.0495656386392447,0.5289848314737279,0.0777660253058287,-0.0377381037212484,0.0252225182373717,0.05780070737271881,0.0209354897698757,0.01172346752541635,0.0031283752029089636,0.012038097473402632,0.0,0.0,0.0,-0.0090294917881124,0.0,-0.00804197964312171,0.035134108455546084,0.026880443687311538,0.007570800971971709,0.09045169044852755,-0.012806118595162399,0.024055240279775004,-0.030010314924793932,0.0031945214862951483,0.032063354222595875,-0.014242718395964667,-0.028828591642024236,-0.01737116517381763,0.004907626744805439,0.032063354222595875,0.0178614866369858,0.0,-0.0038918309142218,0.02009343953998599,0.000114551402455725
solar-flare_FvsAll-cleaned,0.01550432703893136,0.01216936172666185,0.02268135863303384,0.017667846325376144,0.08131952245034521,0.08560760582070506,0.057821238473980865,-0.01322519615369766,0.006494128931750889,0.029493677851166113,0.03981223029069319,-0.012751107424856401,0.01917878267536157,0.01484239845127378,0.037179613623777995,0.0,0.0,0.0,-0.0004944663207206102,0.0058177121168035304,-9.06623837496498e-05,0.0425556903411854,0.0020354857574532903,0.00347219146466776,0.02909786589989981,-0.00808693521840438,0.07467075851991892,0.01691011614216795,-0.0028212226156076998,-0.009688836207226558,-0.0020449132486228695,0.030469419388469386,-0.00559171451419663,0.0048921093085452,0.010805033273244,0.0064781508644624,0.0094689186632979,0.0
bands_band_16_variant1ori,-0.0182562192939392,0.0982719099029187,0.1411290890112916,-0.0184284506757625,0.0341630617541815,-0.007085075825009,0.1311641926998574,0.030565129376441,0.01848551407290163,0.026818521825515702,0.04344915255325154,0.01506957112862213,0.010463199918403849,0.0,0.0,0.0,0.0,0.03241976763121504,0.06592130176598938,0.1819572368376809,0.04896675768857011,0.0641927963089072,0.08517161230940294,0.07684138197069348,0.0760267823686106,0.13876116634755764,0.1797072792350018,0.012649453680287751,0.08039904349231594,0.0634653238750317,0.1638243140410885,0.1254760373000033,0.0178096627197614,0.0379788865203829,0.005975091652751,0.0149296878234737,0.0206474099371723,0.0028364220181308
sick_sick_35_variant1ori,-0.0044046251623684,0.0051978281814975,0.0460077041063918,-0.0043695516821371,-0.0016200363825632,0.0091002191069957,0.0179867149820751,-0.0036306590828821,0.016915634755530297,0.02118783167459205,0.03288418086932495,-0.001340743951763789,0.014058288418115138,0.0,0.0,0.0,0.0,0.058825333032218374,0.03267836865116814,0.04804162343423066,0.05790178533998012,0.0101614155192889,0.04588542434919868,0.05062897449533961,0.04515872168484726,0.07470783792916097,0.01040208953253846,0.05527208877069686,0.01914008673797464,0.013066995741055501,0.024067760130197978,0.01690411219936866,0.02426016430877452,0.009439517957795,0.0125699316196916,0.0059600853559222,0.0198420421358549,0.0056733195138986
thyroid_disease_variant1ori,0.046044676470079995,-0.00892342932486152,-0.012422246489803609,0.04379875678412619,0.02073850233410955,-0.01081836622969982,-0.01690302862409242,-0.0013904717888224998,0.008759715640646662,0.008703318625556993,0.010650537169821893,-0.013364088066453289,0.01199465673136364,0.0,0.0,0.0,0.0,0.011573141272746869,0.002026260497287541,-0.012393813956236238,-0.01262402380432135,-0.008345813819687438,-0.011921309939521093,0.022752693395050178,0.021369667852825337,-0.010144777485127533,-0.009527618150087203,-0.012024520480839799,0.009424875912935237,0.007962321719318257,-0.001184690838406207,-0.006901625233960126,-0.0012929445720329456,0.0,0.0,0.0,-0.0008164517585604,0.0
hepatitis,-0.0087408612072526,0.0572139303482587,0.1819747416762342,-0.0091245682614496,0.0091715336361669,0.2903131401814456,0.1443037338559726,-0.0095485928004632,0.11286419759715097,0.08148614854118519,0.09594200384238083,0.0064236528861203995,0.07578851820361077,0.0275733386795256,0.0648721992005574,0.0223046598086293,0.0,0.035033167495854,0.1685148430172792,0.11142191142191138,0.08675764592781934,0.029687765481089562,0.13169465615682802,0.0765490584678462,0.08403305947910504,0.07022006002105496,0.06528212571525417,0.06351184850389306,0.008563187715390367,0.002432966894430067,0.007092475017317699,0.008688018774951201,0.013284146064319532,0.0290247358355095,0.0205347904352879,0.0265054040144107,-0.0070062147176575,0.0112166369039896
lymphography,-0.0172351219430002,0.582684998882182,0.7725240330874134,-0.0173050727263687,0.5450480661748267,0.5121944225740919,0.7032472613458529,-0.0163276807373174,0.08623484776914656,0.19040363918796482,0.10247007587673566,0.05362676968799281,0.06726208392911052,0.394342418145235,0.4701262252277164,0.4317638416978576,0.0,0.32601840548741945,0.5087940658715306,0.8027162977867203,0.7804687722293356,0.08449968346930825,0.7619748170452396,0.5924241214482663,0.7476735593938814,0.616486295027859,0.24005006065360263,0.47070272786500383,0.2867722672008237,0.14211830681268406,0.3894783234817643,0.15995431760801768,0.3162304678262465,0.0793572780590435,0.045627701418408,-0.0063659451273342,0.015802834182519,-0.0096188916255233
