Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.08960450837283586,-0.0441307925274836,-0.018280405844168,0.0495656386392447,0.5289848314737279,0.0777660253058287,-0.0377381037212484,0.0252225182373717,0.05780070737271881,0.0209354897698757,0.01172346752541635,0.0031283752029089636,0.012038097473402632,0.0,0.0,0.0,-0.0090294917881124,0.0,-0.00804197964312171,0.035134108455546084,0.026880443687311538,0.007570800971971709,0.09045169044852755,-0.012806118595162399,0.024055240279775004,-0.030010314924793932,0.0031945214862951483,0.032063354222595875,-0.014242718395964667,-0.028828591642024236,-0.01737116517381763,0.004907626744805439,0.032063354222595875,0.0178614866369858,0.0,-0.0038918309142218,0.02009343953998599,0.000114551402455725
solar-flare_FvsAll-cleaned,0.01550432703893136,0.01216936172666185,0.02268135863303384,0.017667846325376144,0.08131952245034521,0.08560760582070506,0.057821238473980865,-0.01322519615369766,0.006494128931750889,0.029493677851166113,0.03981223029069319,-0.012751107424856401,0.01917878267536157,0.01484239845127378,0.037179613623777995,0.0,0.0,0.0,-0.0004944663207206102,0.0058177121168035304,-9.06623837496498e-05,0.0425556903411854,0.0020354857574532903,0.00347219146466776,0.02909786589989981,-0.00808693521840438,0.07467075851991892,0.01691011614216795,-0.0028212226156076998,-0.009688836207226558,-0.0020449132486228695,0.030469419388469386,-0.00559171451419663,0.0048921093085452,0.010805033273244,0.0064781508644624,0.0094689186632979,0.0
bands_band_16_variant1ori,-0.0182562192939392,0.0982719099029187,0.1411290890112916,-0.0184284506757625,0.0341630617541815,-0.007085075825009,0.1311641926998574,0.030565129376441,0.01848551407290163,0.026818521825515702,0.04344915255325154,0.01506957112862213,0.010463199918403849,0.0,0.0,0.0,0.0,0.03241976763121504,0.06592130176598938,0.1819572368376809,0.04896675768857011,0.0641927963089072,0.08517161230940294,0.07684138197069348,0.0760267823686106,0.13876116634755764,0.1797072792350018,0.012649453680287751,0.08039904349231594,0.0634653238750317,0.1638243140410885,0.1254760373000033,0.0178096627197614,0.0379788865203829,0.005975091652751,0.0149296878234737,0.0206474099371723,0.0028364220181308
creditA_plus_42_variant1ori,-0.025508422100165185,0.7772940831176859,0.528768963056397,-0.02447847359601532,0.3741847920242253,0.7450194468987309,0.7532885054614284,-0.0022770648151841095,0.060494623295839635,0.09716057352310965,0.12989237865865316,0.06063384511512286,0.0,0.0,0.0,0.0,0.0,0.0,0.3722226248100725,0.5981961954523625,0.4679215346391639,0.33230290014421876,0.0,0.25574170887352565,0.21067282719122316,0.4352445080863043,0.4730498670648581,0.0,0.14843690693448336,0.045776264409383725,0.046351874504660634,0.16246759539719158,0.0,0.03506647480753055,0.013504551959982769,0.02067499241159463,0.01359665239736626,0.0
sick_sick_35_variant1ori,-0.0044046251623684,0.0051978281814975,0.0460077041063918,-0.0043695516821371,-0.0016200363825632,0.0091002191069957,0.0179867149820751,-0.0036306590828821,0.016915634755530297,0.02118783167459205,0.03288418086932495,-0.001340743951763789,0.014058288418115138,0.0,0.0,0.0,0.0,0.058825333032218374,0.03267836865116814,0.04804162343423066,0.05790178533998012,0.0101614155192889,0.04588542434919868,0.05062897449533961,0.04515872168484726,0.07470783792916097,0.01040208953253846,0.05527208877069686,0.01914008673797464,0.013066995741055501,0.024067760130197978,0.01690411219936866,0.02426016430877452,0.009439517957795,0.0125699316196916,0.0059600853559222,0.0198420421358549,0.0056733195138986
thyroid_disease_variant1ori,0.046044676470079995,-0.00892342932486152,-0.012422246489803609,0.04379875678412619,0.02073850233410955,-0.01081836622969982,-0.01690302862409242,-0.0013904717888224998,0.008759715640646662,0.008703318625556993,0.010650537169821893,-0.013364088066453289,0.01199465673136364,0.0,0.0,0.0,0.0,0.011573141272746869,0.002026260497287541,-0.012393813956236238,-0.01262402380432135,-0.008345813819687438,-0.011921309939521093,0.022752693395050178,0.021369667852825337,-0.010144777485127533,-0.009527618150087203,-0.012024520480839799,0.009424875912935237,0.007962321719318257,-0.001184690838406207,-0.006901625233960126,-0.0012929445720329456,0.0,0.0,0.0,-0.0008164517585604,0.0
anneal,-0.01870849266222201,0.07783456702605226,0.08784331552976873,-0.02009820606396616,0.01623488342495829,0.03896725066053293,0.01576061556093192,-0.00037732071529072005,0.03743739568119395,0.152591862307998,0.1549900145108311,0.003997428064808537,0.017685309062532597,0.1663273803508627,0.17809007702759047,0.13861876744270377,0.0,0.09751982652156085,0.14924589733534335,0.38747126674787036,0.32452013030860705,0.18718545221139923,0.14189296143862606,0.17286044691261945,0.4327010721714043,0.2551555412443886,0.17283991869056664,0.14829753811211902,0.041049827483604646,0.11891256473532132,0.09963314261379924,0.02862467903068328,0.015696271076975375,0.0027430524606778307,-0.00039574496903005,0.004804939389064169,0.002671953973526553,0.0029929359558507995
australian,-0.03350403634377555,0.22313597322113923,0.2853760139338809,-0.03527811416296954,0.05244096031779579,0.06342928862405448,0.21583249286157283,-0.03496003637603811,0.03660182628399673,0.074626542822741,0.15553989504496338,0.041129141512768516,0.19082826055629057,0.2195735988464048,0.16729304961948255,0.2610003186713032,0.0,0.12081009082186098,0.21699966562792844,0.2411830852585002,0.22099064199440263,0.12900296520144416,0.368017140194399,0.18986298674580343,0.1612287441066329,0.2591064555429606,0.09046516651798842,0.21790497680215942,0.09555285593511073,0.026717806345322836,0.02954858522769592,0.05688791447092136,-0.009629726488950845,0.01684797360687651,0.0180449663216278,0.015073697257712048,0.02320356864759,0.0127728319925303
crx,-0.03580904718518068,0.24606713296028399,0.26677703231929484,-0.03736272113814682,0.05409489995513199,0.08638113749674987,0.19236645247509349,0.04690916002469983,0.01086896589433694,0.049078044618668694,0.03970375669389713,0.08159991788357746,0.15695503868640084,0.08851858028096211,0.11151360218582206,0.10965854088601162,0.0,0.09475122651607269,0.09972303410641305,0.15994325814790977,0.13206147761652934,0.19918225865961478,0.22261141598880346,0.07644735003417404,0.09565945230788372,0.14140933034577016,0.1510196788739464,0.11220544351081277,0.04667405182247314,0.01777417332436328,0.026662716952625037,0.10415977876300049,0.0036328171691061635,0.02002153767170883,0.02151672079169832,0.03585060018097843,0.00744814704774366,0.02418870802178193
ecoli,-0.007180353026278966,0.0559956643492277,0.2545270208332902,-0.0116473436961802,0.014457810795991,0.2494158049061558,0.0256288413213482,-0.0109368784519277,0.5106751026214972,0.4720421586699361,0.5717325677051173,0.013481943115441462,0.502701275313726,0.15047890685326043,0.15047890685326043,0.15047890685326043,0.0,0.16453837444627004,0.44961308495602603,0.43334165604522623,0.46633705030961464,0.02769938398697306,0.3926624596673949,0.45543040319922656,0.45543040319922656,0.45543040319922656,0.11084748089078611,0.40883972578286104,0.24382025185610293,0.24464480729839538,0.22399895321285546,0.09267667016764108,0.15598573082945216,-0.0030508926596782,-0.0050771099787592,-0.0015398460560601,-0.0016452949150968,-0.0029240263842238
