Datasets,AVF,CBRW,CompreX,FPOF,POP,SCAN,SDRW,Zero++,DeepSVDD_ca,DeepSVDD_idf,DeepSVDD_one,DeepSVDD_pivot,DeepSVDD_nocat,FastABOD_ca,FastABOD_idf,FastABOD_one,FastABOD_pivot,FastABOD_nocat,iForest_ca,iForest_idf,iForest_one,iForest_pivot,iForest_nocat,KNN_ca,KNN_idf,KNN_one,KNN_pivot,KNN_nocat,LOF_ca,LOF_idf,LOF_one,LOF_pivot,LOF_nocat,McCatch_ca,McCatch_idf,McCatch_one,McCatch_pivot,McCatch_nocat
bank-additional-ful-nominal,0.5373533612495021,0.5506084327570658,0.5389865299185643,0.5592798632261459,0.6282653635034345,0.6871585751540479,0.5616004082315023,0.4972141303477413,0.5167598227352661,0.6453956584980773,0.6548771684744232,0.4626637526978414,0.5,0.8001838727611221,0.811042448847497,0.6128564570220889,0.6461607094165408,0.5,0.5827207114906491,0.5293940027875299,0.52183723716521,0.4838349507929314,0.5,0.5838894089059705,0.5790064101950083,0.5357101668724811,0.4983743346474035,0.5,0.6013999145068929,0.5929759251461486,0.5497897091791167,0.5239378145565872,0.5,0.4941962326071529,0.4999074697399229,0.4813488625802392,0.5349983735364222,0.5
census-income-full-nominal,0.6767923210174881,0.4782199425280976,0.3776926799953963,0.4854469206681754,0.2833839431318115,0.5,0.3038413780071641,0.614083942086795,0.5304069215077237,0.6530659245408044,0.5619311476804523,0.5048867517142398,0.6041800342792407,0.5,0.5,0.5,0.539170269482834,0.5,0.4195304436785007,0.3545313355010457,0.4198639697502612,0.5060757807250182,0.6253537929014216,0.4083867135417351,0.410632756881764,0.3934623789287253,0.4909331593833808,0.64523869989423,0.4846206820322316,0.4974849794822435,0.5235570633470136,0.5228886828709522,0.6337751813019002,0.5003061121256469,0.502273531714198,0.5006537178922108,0.5030361949443233,0.5
chess_krkopt_zerovsall,0.357800056290905,0.7219969264637287,0.6386731731553166,0.3509757750900852,0.3042325210793583,0.3051786311267563,0.8323363500501465,0.2382743798420419,0.5869212178391956,0.7737052761491735,0.7376975962726435,0.5255469533538676,0.4361811774313111,0.5104224064229772,0.6622955325370681,0.5,0.5051375361233008,0.5,0.5029764146393352,0.4679531649098882,0.7789009531133759,0.4627700410817896,0.7705531176043859,0.5158367722319344,0.5844944984229297,0.5075279175140033,0.499910806664526,0.7736762057287228,0.56183080222468,0.5240326487249317,0.5055901097144095,0.502782832066788,0.7795266278444414,0.5108650696434777,0.4794339989138234,0.5,0.4979835699269144,0.5
kddcup99-corrected-u2rvsnormal-nominal-cleaned,0.6307277628032344,0.1725067385444743,0.3086253369272237,0.5215633423180592,0.9209098179078642,0.5229110512129379,0.22911051212938,0.5404312668463611,0.6684636118598383,0.7129380053908356,0.633423180592992,0.6037735849056604,0.7264150943396226,0.5,0.5,0.5,0.5283018867924528,0.5,0.3773584905660377,0.3409703504043126,0.4070080862533692,0.5220125786163522,0.7075471698113207,0.4541778975741239,0.4595687331536388,0.5,0.5440251572327044,0.6477987421383647,0.4582210242587601,0.330188679245283,0.5,0.6132075471698113,0.6446540880503144,0.5970350404312669,0.5,0.6132075471698113,0.729559748427673,0.5188679245283019
solar-flare_FvsAll-cleaned,0.5709113607990013,0.581398252184769,0.6218476903870164,0.6299625468164795,0.8342072409488139,0.8092384519350811,0.7656679151061174,0.4108614232209738,0.5236243157591471,0.5469605301065976,0.635983866320945,0.466820320752905,0.6030442715835974,0.7159320080668395,0.7433016421780466,0.5,0.5,0.5,0.5184384903486028,0.4690771151445309,0.4745510419667723,0.5109478536444829,0.4797368673773168,0.5063382310573322,0.5114280226639778,0.4969749351771824,0.5497455104196678,0.5377893018342457,0.5277537693268031,0.4939018534524151,0.5456640737539613,0.5771151445308749,0.5514741188898492,0.5103716508210889,0.4959185633342936,0.527753769326803,0.5049937578027466,0.5
bands_band_16_variant1ori,0.231670673076923,0.7089342948717948,0.733974358974359,0.2251602564102564,0.6668669871794872,0.3659855769230769,0.7944711538461539,0.6646634615384616,0.5606971153846154,0.5582932692307692,0.6247996794871795,0.624198717948718,0.6033653846153847,0.5,0.5,0.5,0.5,0.7011217948717948,0.719150641025641,0.8870192307692307,0.694911858974359,0.7069310897435898,0.7844551282051282,0.9120592948717948,0.7792467948717948,0.8970352564102563,0.7352764423076923,0.6819911858974359,0.8894230769230769,0.7311698717948719,0.8707932692307693,0.6925080128205128,0.6345152243589743,0.6463341346153846,0.6219951923076923,0.6189903846153847,0.5068108974358975,0.5765224358974358
creditA_plus_42_variant1ori,0.0250528409797339,0.9917941066766132,0.9663061046873058,0.1188611214720875,0.926768618674624,0.9888101454681087,0.989307472336193,0.5449459157030958,0.8273032450578143,0.918438393634216,0.9442993907745866,0.7816735049111028,0.5,0.5,0.5,0.5,0.5,0.5,0.9671764267064528,0.980106925276638,0.9694143976128312,0.9638194703468856,0.5,0.926395623523561,0.9204898669650629,0.9709063782170833,0.9750093248787766,0.5,0.9190600522193212,0.6983712545070248,0.7922417008578889,0.9444237224916076,0.5,0.546313564590327,0.5200795722988933,0.5630361805296531,0.5046624393882879,0.5
sick_sick_35_variant1ori,0.1153002546619567,0.6072208987102604,0.8862893288425203,0.1139489033106054,0.4426764150168406,0.7474739176866837,0.8313398504887868,0.2446069169473425,0.7177852624661136,0.8312494865686355,0.79914565020948,0.4927380267805799,0.7275034913332786,0.5,0.5,0.5,0.5,0.8866672143267887,0.879696870122402,0.897962704345683,0.9223363180809988,0.7204715353651524,0.8894438511459788,0.880986609710014,0.8774500944713711,0.9359401955146636,0.8031257701470468,0.8884293107697363,0.7975108847449273,0.7769079109504642,0.8601577261151729,0.8612420931569867,0.8176127495276432,0.6348517210219337,0.5554423724636491,0.6291218269941673,0.5442002793066623,0.5581491826172678
thyroid_disease_variant1ori,0.6567884175494056,0.408243832281246,0.3980129784706609,0.665760202629073,0.6428650317589657,0.4878633628179578,0.3491743650661195,0.5424046003868016,0.7077733381765348,0.6747049901336135,0.7138207950049578,0.4430817486574842,0.6582303334936827,0.5,0.5,0.5,0.5,0.8494799285300556,0.4796119221291759,0.4377362287823603,0.439137648363947,0.4823214969419111,0.4084684030198015,0.5467867976948979,0.5656114705333739,0.4951846143273676,0.4780644702094029,0.3880116040486545,0.5677970469561461,0.5965445558162595,0.58473188953574,0.5073727923346522,0.5521777225827353,0.5,0.5,0.5,0.4995889005605678,0.5
anneal,0.2340029761904762,0.7958603896103896,0.8131764069264069,0.2504734848484848,0.6155979437229437,0.7367424242424243,0.6350784632034632,0.5032467532467533,0.7591314935064936,0.905370670995671,0.9185944264069263,0.6759334415584416,0.6156655844155844,0.8832521645021645,0.897253787878788,0.87303841991342,0.5,0.8709415584415585,0.879193722943723,0.9119656385281384,0.8837594696969697,0.9364853896103896,0.8676271645021645,0.9254937770562772,0.9400703463203464,0.8991815476190477,0.910545183982684,0.8583603896103896,0.7554450757575758,0.9451095779220778,0.859070616883117,0.7899756493506493,0.650872564935065,0.582115800865801,0.5784632034632035,0.5693993506493507,0.5644277597402597,0.5684862012987013
australian,0.227461219474735,0.8130855475349408,0.8796651819996928,0.2148287513438796,0.6164183689141454,0.7612501919827983,0.7911995085240363,0.2765320227307633,0.679926278605437,0.7941944401781599,0.8652280755644294,0.6955920749500845,0.9102288434956228,0.8482567961910613,0.8236829980033789,0.9001689448625403,0.5,0.8090155122101059,0.8178467209338043,0.8795115957610198,0.8755951466748579,0.8138534787283059,0.8962524957763784,0.8660344033174627,0.8473736753186915,0.8976347719244356,0.7394025495315619,0.8798187682383658,0.7852864383351252,0.6735524497005069,0.7375211181078176,0.705344801105821,0.5717631700199662,0.5890416218706804,0.6010981416065121,0.569459376439871,0.6866840731070496,0.5551758562432806
